"item.daAwardNoticeId","item.noticeNo","item.publicationDate","details.finalizationDate","details.sysNoticeState.text","details.sysAcquisitionContractType.text","details.sysEuropeanFund.text","item.awardedValue","item.contractObject","item.cpvCategory","item.cpvCode","authority.entityId","authority.fiscalNumber","authority.entityName","authority.city","authority.county","details.noticeEntityAddress.noticeEntityAddressID","details.noticeEntityAddress.fiscalNumber","details.noticeEntityAddress.organization","details.noticeEntityAddress.city"
101364000,DAN2297119,"2024-10-23","2024-03-26",Publicat,Servicii,"Alte programe/proiecte","630.25","Curs formare profesionala implementare proiecte PNRR-PNRAS","SERVICII ","80500000-9 - Servicii de formare (Rev.2)",114076,26691155,"SCOALA GIMNAZIALA ,,VASILE ALECSANDRI” BAIA MARE","Baia Mare",Maramures,110849596,40313368,"S.C. GAMCOM SERVICES S.R.L. S.R.L.","Baia Mare"
101363880,DAN2297012,"2024-10-23","2024-10-23",Publicat,Servicii,"Alte programe/proiecte",100000,"„Servicii dirigenție șantier pentru realizarea lucrărilor de canalizare/apă pentru investiția Sprijinirii conectării populației cu venituri mici la rețelele de alimentare cu apă și de canalizare existente în Județul Ialomița – proiect PNRR MAPC01202242000018 Componenta C1 – Managementul apei, valul I”",CONSTRUCTII,"71520000-9 - Servicii de supraveghere a lucrarilor (Rev.2)",4507,11316859,"URBAN SA SLOBOZIA",NA,Ialomita,110848471,50260023,"CILIBEANU CRISTIAN PFA","Slobozia (Ialomita)"
101363837,DAN2296973,"2024-10-23","2024-10-22",Publicat,Servicii,"-",119,"Verificare beneficiar real la Registrul Comertului pentru achizitiile in cadrul obiectului de investiţii: „Sprijinirea conectării populației cu venituri mici la rețelele de alimentare cu apă și de canalizare existente în județul Ialomița – Proiect PNRR MAPC01202242000018 Componenta C1 – Managementul apei, valul I” pentru U.A.T. Comuna Adîncata, Comuna Ciulnița, Comuna Ograda și Slobozia","TEHNOLOGIA INFORMATIEI SI COMUNICATIEI","72322000-8 - Servicii de gestionare a datelor (Rev.2)",4507,11316859,"URBAN SA SLOBOZIA",NA,Ialomita,110848259,32332105,"OPENCODE SRL",Bucuresti
101362673,DAN2295858,"2024-10-21","2024-03-28",Publicat,Servicii,"Alte programe/proiecte",29412,"Prestări servicii auxiliare achiziției investiția:
Reabilitarea moderată a clădirii publice Camin Cultural Viile pentru a îmbunătăți serviciile publice prestate la nivelul comunei Ion Corvin”, finanțat prin Planul naţional de redresare şi rezilienţă, în cadrul apelului de proiecte PNRR/2022/C10/I3/I1.3, Runda 2, componenta 10 – Fondul Local, I3 / I3.1""","SERVICII ","79400000-8 - Consultanta in afaceri si in management si servicii conexe (Rev.2)",9089,5515059,"Comuna Ion Corvin","Ion Corvin",Constanta,110840082,48762877,"S.C. SIA CONS S.R.L. S.R.L.",Bucuresti
101362244,DAN2295474,"2024-10-21","2024-10-21",Publicat,Servicii,"Alte programe/proiecte",102000,"Servicii de asistenta tehnica de specialitate prin diriginti de santier pentru realizarea obiectivului de investitii ”Realizare sarpanta, Reabilitare termica si modificari interioare la corp scoala Colegiul National „Ana Aslan” , Proiect nr.C5-B2.1.a-1610, finanțat prin PNRR 2020-2026, C5-Valul Renovării",CONSTRUCTII,"71356200-0 - Servicii de asistenta tehnica (Rev.2)",727,14756536,"Municipiul Timisoara",Timisoara,Timis,110837538,4847122,"S.C. ADAM'S CONSTRUCT S.R.L.",Timisoara
101360644,DAN2293960,"2024-10-17","2024-10-10",Publicat,Servicii,"Alte programe/proiecte",4500,"Servicii specializate de promovare și informare în cadrul obiectivul de investiție “Creare de păduri urbane U.A.T oraș Murfatlar”, PNRR/2023/C2/I.1.C","SERVICII ","79341000-6 - Servicii de publicitate (Rev.2)",5531,4859712,"Orasul Murfatlar",Murfatlar,Constanta,110821594,18395493,"S.C. SC ZIUA TOMIS SRL S.R.L.",Constanta
101358462,DAN2291882,"2024-10-16","2024-08-06",Publicat,Furnizare,"-",47315,"Dotarea cu echipamente a sălii de sport a unităților de învățământ Scoala Gimnaziala ”Grigore Moisil” Ulmeni în cadrul proiectului „Dotarea cu mobilier, materiale didactice și echipamente digitale a unităților de învățământ preuniversitar în cadrul UAT Ulmeni”  cod F-PNRR-Dotari-2023-3210.","INDUSTRIA PRELUCRATOARE","37400000-2 - Articole si echipament de sport (Rev.2)",10272,3796691,"Comuna Ulmeni",Ulmeni,Calarasi,110807458,42179344,"S.C. Idea Papel Distribution S.R.L.",Bucuresti
101358442,DAN2291863,"2024-10-16","2024-08-08",Publicat,Furnizare,"-",55684,"Dotarea cu materiale didactice a unității de învățământ în cadrul proiectului „Dotarea cu mobilier, materiale didactice și echipamente digitale a unităților de învățământ preuniversitar în cadrul UAT Ulmeni” cod F-PNRR-Dotari-2023-3210.","INDUSTRIA PRELUCRATOARE","39162100-6 - Material pedagogic (Rev.2)",10272,3796691,"Comuna Ulmeni",Ulmeni,Calarasi,110807293,42179344,"S.C. Idea Papel Distribution S.R.L.",Bucuresti
101357749,DAN2291195,"2024-10-15","2024-10-08",Publicat,Servicii,"-",138000,"Servicii de proiectare tehnica ( etapele Studiu de fezabilitate si Proiect tehnic cu detalii de executie, inclusiv studiu geotehnic si studiu topografic ) si asistenta tehnica din partea proiectantului pentru statiile de reincarcare a vehiculelor electrice , Componenta I.1.1 – Innoirea parcului de vehicule destinate transportului public ( achizitia de vehicule nepoluante)  in cadrul proiectului „ ACHIZITIA DE VEHICULE NEPOLUANTE IN MUNICIPIUL FETESTI SI COMUNA STELNICA, JUDETUL IALOMITA”,  finantat prin PNRR , Componenta 10 – Fondul local",CONSTRUCTII,"71241000-9 - Studii de fezabilitate, servicii de consultanta, analize (Rev.2)",6861,4365077,"MUNICIPIUL FETESTI",Fetesti,Ialomita,110801920,47629288,"CRAM PROJECT S.R.L.",Timisoara
101357340,DAN2290785,"2024-10-15","2024-10-11",Publicat,Servicii,"Alte programe/proiecte",18000,"Servicii de informare si publicitate in cadrul proiectului: EXTINDERE ȘI REABILITARE CLĂDIRE BAZĂ DE PRACTICĂ BLĂJOAIA, MODIFICARE STRUCTURĂ ȘARPANTĂ POD ȘI REFACERE ÎNVELITOARE, ÎMPREJMUIRE ȘI ACCES AUTO, MODIFICARE INSTALAȚII, contract finanţare: 11386/05.07.2024  ; COD  Proiect: e-PNRR 1051826472","SERVICII ","79341000-6 - Servicii de publicitate (Rev.2)",4675,4305849,"UNIVERSITATEA ""BABES-BOLYAI""","Cluj-Napoca",Cluj,110797954,24736757,"S.C. PR & MORE S.R.L. S.R.L.","Cluj-Napoca"
101356606,DAN2290066,"2024-10-14","2024-09-30",Publicat,Servicii,"-",160,"Aviz tehnic racordare statii incarcare PNRR","SERVICII ","98390000-3 - Alte servicii (Rev.2)",18781,4562508,"COMUNA CRICAU (CONSILIUL LOCAL)",Cricau,Alba,110791368,14476722,"DISTRIBUTIE ELECTRICA FURNIZARE","Cluj-Napoca"
101356256,DAN2289711,"2024-10-14","2024-07-30",Publicat,Servicii,"-","14649.9","Servicii de proiectare tehnică Faza Proiect tehnic pentru obiectivul ”Reabilitarea, modernizarea instalaţiei de iluminat al Bibliotecii Comunale Merești” a proiectului cu titlul: ”Harghita biblio Digital Hub (HbdH)” în cadrul programului PNRR ”Finanțarea bibliotecilor pentru a deveni hub-uri de dezvoltare a competențelor digitale” COMPONENTA 7 Transformarea digitală, Operațiunea D. Competențe digitale, Capital Uman și utilizarea Internetului, INVESTIȚIA I17. Scheme de finanțare pentru biblioteci pentru a deveni hub-uri de dezvoltare a competențelor digitale",CONSTRUCTII,"71322000-1 - Servicii de proiectare tehnica pentru constructia de lucrari publice (Rev.2)",4501,4245763,"JUDETUL HARGHITA","Miercurea-Ciuc",Harghita,110787326,2632267,"S.C. SPIRI COM S.R.L.",Bucuresti
101356250,DAN2289706,"2024-10-14","2024-07-30",Publicat,Servicii,"-","15244.5","Servicii de proiectare tehnică Faza Proiect tehnic pentru obiectivul ”Reabilitarea, modernizarea instalaţiilor de iluminat al Bibliotecii Municipală Gheorgheni ” a proiectului cu titlul: ”Harghita biblio Digital Hub (HbdH)” în cadrul programului PNRR ”Finanțarea bibliotecilor pentru a deveni hub-uri de dezvoltare a competențelor digitale” COMPONENTA 7 Transformarea digitală, Operațiunea D. Competențe digitale, Capital Uman și utilizarea Internetului, INVESTIȚIA I17. Scheme de finanțare pentru biblioteci pentru a deveni hub-uri de dezvoltare a competențelor digitale",CONSTRUCTII,"71322000-1 - Servicii de proiectare tehnica pentru constructia de lucrari publice (Rev.2)",4501,4245763,"JUDETUL HARGHITA","Miercurea-Ciuc",Harghita,110787314,2632267,"S.C. SPIRI COM S.R.L.",Bucuresti
101356245,DAN2289701,"2024-10-14","2024-07-30",Publicat,Servicii,"-","14055.31","Servicii de proiectare tehnică Faza Proiect tehnic
pentru obiectivul ”Reabilitarea, modernizarea instalaţiei de încălzire al Bibliotecii Comunale Cozmeni” a proiectului cu titlul: ”Harghita biblio Digital Hub (HbdH)” în cadrul programului PNRR ”Finanțarea bibliotecilor pentru a deveni hub-uri de dezvoltare a competențelor digitale” COMPONENTA 7 Transformarea digitală, Operațiunea D. Competențe digitale, Capital Uman și utilizarea Internetului, INVESTIȚIA I17. Scheme de finanțare pentru biblioteci pentru a deveni hub-uri de dezvoltare a competențelor digitale",CONSTRUCTII,"71322000-1 - Servicii de proiectare tehnica pentru constructia de lucrari publice (Rev.2)",4501,4245763,"JUDETUL HARGHITA","Miercurea-Ciuc",Harghita,110787303,2632267,"S.C. SPIRI COM S.R.L.",Bucuresti
101355451,DAN2288892,"2024-10-11","2024-10-10",Publicat,Servicii,"Alte programe/proiecte",34000,"Servicii de asistență tehnică - dirigenție de șantier  în  vederea  urmăririi/supravegherii lucrărilor  pentru obiectivului de investiție: ”EXTINDERE REȚELE DE APĂ POTABILĂ ȘI  CANALIZARE MENAJERĂ PE STRĂZILE: BISTRA, ȘUGAG, JIDVEI, ROMANIȚA, SEPTIMIU ALBINI, OAȘA- VALEA  ARGINTULUI, GILĂU-PĂDURII, GILĂU- TARNIȚA - MUNICIPIUL ALBA IULIA''- proiect finanțat prin PNRR  – Managementul apei",CONSTRUCTII,"71247000-1 - Supraveghere a lucrarilor de constructii (Rev.2)",1741,4562923,"MUNICIPIUL ALBA IULIA","Alba Iulia",Alba,110781389,22414461,"P.F.A. RADULESCU CALIN CONSTANTIN P.F.A. S.C.S.",Sebes
101355430,DAN2288872,"2024-10-11","2024-10-10",Publicat,Servicii,"Alte programe/proiecte",56000,"Servicii de asistență tehnică - diriginție de șantier in vederea urmăririi/supravegherii lucrărilor  pentru obiectivului de investiție:„Extindere rețea apă potabilă și branșamente; extindere rețea canalizare menajeră și racorduri pe străzile Lotru, Stufului, Păpădiei, Socului, Făgetului, Gutuiului, Pepinierei, Ana Ipătescu, Rojomal, Theodor Pallady, Ienupărului” , proiect finanțat prin PNRR  – Managementul apei",CONSTRUCTII,"71247000-1 - Supraveghere a lucrarilor de constructii (Rev.2)",1741,4562923,"MUNICIPIUL ALBA IULIA","Alba Iulia",Alba,110781312,22414461,"P.F.A. RADULESCU CALIN CONSTANTIN P.F.A. S.C.S.",Sebes
101355242,DAN2288689,"2024-10-11","2024-10-09",Publicat,Furnizare,"Alte programe/proiecte",49000,"ACHIZITIE MATERIALE DIDACTICE pentru Sala de sport 
în cadrul proiectului
""Dotarea cu mobilier, materiale didactice și echipamente digitale a ȘCOLII GIMNAZIALE GEMENELE, BRAILA""finanţat prin Planul Naţional de Redresare şi Rezilienţă (PNRR), Pilonul Politici pentru noua generaţie, Componenta Cl5: Educaţie: cod F-PNRR-Dotari-2023-5634.","INDUSTRIA PRELUCRATOARE","39162100-6 - Material pedagogic (Rev.2)",10671,4721301,"UNITATEA ADMINISTRATIV TERITORIALA A COMUNEI GEMENELE",Gemenele,Braila,110779568,5167868,"S.C. VIPROD S.R.L.",Slobozia
101353294,DAN2286903,"2024-10-10","2024-10-09",Publicat,Servicii,"Alte programe/proiecte",64650,"Servicii de dirigentie de santier pentru proiectul “RENOVARE ENERGETICĂ A 10 CLĂDIRI REZIDENȚIALE MULTIFAMILIALE DIN MUNICIPIUL SIBIU”, nr. proiect PNRR C5-A3.1-537– Lotul 3:
- Bloc de locuințe, 2 scări , Str. Iazului, bl. 19
- Bloc de locuințe, 2 scări, Str. Șteflești, bl. 7
- Bloc de locuințe, 2 scări, Str. Vrancei, bl. 6",CONSTRUCTII,"71521000-6 - Servicii de supraveghere a santierului (Rev.2)",2773,4270740,"Municipiul Sibiu",Sibiu,Sibiu,110766642,46863336,"CORBY SOLUTIONS","Popesti-Leordeni"
101353291,DAN2286899,"2024-10-10","2024-10-09",Publicat,Servicii,"Alte programe/proiecte",85850,"Servicii de dirigentie de santier pentru proiectul “RENOVARE ENERGETICĂ A 10 CLĂDIRI REZIDENȚIALE MULTIFAMILIALE DIN MUNICIPIUL SIBIU”, nr. proiect PNRR C5-A3.1-537– Lotul 1:
- Bloc de locuinte, 2 scari, Bd. General Vasile Milea, bl. 10A
- Bloc de locuinte, 2 scari, Bd. General Vasile Milea, bl. 11A
- Bloc de locuinte, 2 scari, Bd. General Vasile Milea, bl. 12A
-Bloc de locuinte, o scara, Bd. General Vasile Milea, nr.1, bl.1",CONSTRUCTII,"71521000-6 - Servicii de supraveghere a santierului (Rev.2)",2773,4270740,"Municipiul Sibiu",Sibiu,Sibiu,110766635,46863336,"CORBY SOLUTIONS","Popesti-Leordeni"
101352657,DAN2286313,"2024-10-09","2024-10-08",Publicat,Servicii,"Alte programe/proiecte",12000,"Servicii de proiectare (studiu de fezabilitate și proiect tehnic), verificare tehnică de calitate și asistență tehnică din partea proiectantului pe toată perioada de execuție a lucrărilor pentru proiectul nr. C10-I1.2-1544 intitulat „Amenajarea unor stații de autobuz inteligente la nivelul Comunei Paleu, județul Bihor” în cadrul Planului Național de Redresare și Reziliență – Componenta C10 – Fondul Local - Investiția I.1.2 - Asigurarea infrastructurii pentru transportul verde – ITS/alte infrastructuri TIC (sisteme inteligente de management urban/local) – Titlu apel: PNRR/2022/C10/I1.2, Runda 1",CONSTRUCTII,"71322000-1 - Servicii de proiectare tehnica pentru constructia de lucrari publice (Rev.2)",7965,15304644,"COMUNA PALEU",Paleu,Bihor,110762363,26170467,"S.C. Bekart SRL S.R.L.",Oradea
101350889,DAN2284621,"2024-10-08","2024-08-29",Publicat,Servicii,"Alte programe/proiecte",135000,"Servicii auxiliare achizitii publice prin expert cooptat pentru procedura simplificata de achizitie publica in vederea atribuirii contractului de lucrari ,,Extindere retele de apa si apa uzata in comuna giarmata -PNRR","SERVICII ","79418000-7 - Servicii de consultanta in domeniul achizitiilor (Rev.2)",10121,6049470,"COMUNA GIARMATA",Giarmata,Timis,110752276,41822459,"S.C. PROIECTARE SI CONSULTANTA HAVEL S.R.L.",Dumbravita
101350604,DAN2284345,"2024-10-07","2024-09-04",Publicat,Furnizare,"Alte programe/proiecte",197975,"Furnizarea sistemelor all in one, laptopuri, display interactiv, monitoare și periferice pentru acestea, aferente proiectului „Digitalizarea proceselor non-clinice din cadrul Serviciului de Ambulanță Județean Giurgiu” finanțat prin PNRR","TEHNOLOGIA INFORMATIEI SI COMUNICATIEI","30141200-1 - Calculatoare de birou (Rev.2)",36452,7709183,"SERVICIUL JUDETEAN DE AMBULANTA GIURGIU",Giurgiu,Giurgiu,110747759,12167046,"S.C. MAGUAY COMPUTERS S.R.L.",Bucuresti
101349396,DAN2283192,"2024-10-07","2024-02-15",Publicat,Servicii,"Alte programe/proiecte",300,"Publicare comunicat de presa proiect PNRR Dotari scoala","SERVICII ","79341000-6 - Servicii de publicitate (Rev.2)",21057,4353099,"Comuna  Magiresti  (Primaria Magiresti)",Magiresti,Bacau,110741239,944300,"S.C. DESTEPTAREA S.R.L.",Bacau
101348661,DAN2282491,"2024-10-04","2024-06-13",Publicat,Servicii,"Alte programe/proiecte",10000,"Servicii de dirigentie de santier pentru  proiectul  cu titlul ,,ÎNFIINȚARE CENTRU DE APORT VOLUNTAR ÎN MUNICIPIUL FETEȘTI” , finantat prin PNRR, Componenta 3 -  Managementul deseurilor .",CONSTRUCTII,"71520000-9 - Servicii de supraveghere a lucrarilor (Rev.2)",6861,4365077,"MUNICIPIUL FETESTI",Fetesti,Ialomita,110735441,47875169,"PFA Nicolae Alexandru Bogdan",Bucuresti
101345318,DAN2279271,"2024-10-02","2024-07-19",Publicat,Furnizare,"Alte programe/proiecte","31362.47","Furnizare table magnetice pentru proiectul ""Dotarea prin PNRR a UIP din municipiul Moinesti""","TEHNOLOGIA INFORMATIEI SI COMUNICATIEI","30195920-7 - Table magnetice (Rev.2)",2767,4591490,"Municipiul Moinesti",Moinesti,Bacau,110710787,45421557,"S.C. IT HERO TECHNOLOGIES S.R.L.",Bragadiru
101345160,DAN2279121,"2024-10-02","2024-07-15",Publicat,Furnizare,"Alte programe/proiecte","55037.63","Furnizare echipamente multimedia pentru proiectul ""Dotarea prin PNRR a UIP din municipiul Moinesti""","TEHNOLOGIA INFORMATIEI SI COMUNICATIEI","30232000-4 - Echipament periferic (Rev.2)",2767,4591490,"Municipiul Moinesti",Moinesti,Bacau,110709471,45421557,"S.C. IT HERO TECHNOLOGIES S.R.L.",Bragadiru
101344760,DAN2278731,"2024-10-01","2024-10-01",Publicat,Servicii,"-","102.52","Gl - Servicii de publicitate ( solic. acord mediu, foraj, PNRR)","SERVICII ","79341000-6 - Servicii de publicitate (Rev.2)",1047,RO1590120,"REGIA NATIONALA A PADURILOR - ROMSILVA RA",Bucuresti,Bucuresti,110707501,27915960,"S.C. PUBLIMEDIAN SRL S.R.L.",Galati
101343236,DAN2277256,"2024-09-30","2024-07-04",Publicat,Furnizare,"Alte programe/proiecte",28370,"Furnizare mobilier scolar (laborator multidisciplinar stiinte)in cadrul obiectivului de investitii   „Asigurarea participarii la un proces educational de calitate, modern si incluziv prin dotarea unitatilor de invatamant preuniversitar si a unitatilor conexe din Comuna Rachiti, Judetul Botosani”, cod F-PNRR-Dotari-2023-1881","INDUSTRIA PRELUCRATOARE","39160000-1 - Mobilier scolar (Rev.2)",14925,3372106,"COMUNA RACHITI (PRIMARIA RACHITI)",Rachiti,Botosani,110699575,28088054,"S.C. BASIC POINT SRL S.R.L.","Negresti-Oas"
101341803,DAN2275855,"2024-09-30","2024-09-25",Publicat,Furnizare,"Alte programe/proiecte",51732,"Furnizare si montaj a una (1) bucata stație de autobuz aferent obiectivului de investiții ”Cresterea si imbunatatirea gradului de mobilitate in comuna Smardan prin digitalizare-lotul 1”(PNRR)","TRANSPORT, DEPOZITARE SI COMUNICATII","34928400-2 - Mobilier urban (Rev.2)",18310,4150000,"Comuna Smardan, judetul Galati(Comuna Smardan)",Smardan,Galati,110690536,36867969,"S.C. Urbio Palagio S.R.L.",selimbar
101340454,DAN2274618,"2024-09-27","2024-09-10",Publicat,Servicii,"Alte programe/proiecte",260000,"Servicii de diriginte de santier pentru  obiectivul de investitii ,,Renovare energetica a cladirilor rezidentiale, zona 2, Comuna Simian, Judetul Mehedinti"" (Contract de finantare nr.  142554/15.12.2022, cod proiect C5 – A3.1 – 310 ), finanțare prin PNRR. Contract nr. 16601/10.09.2024",CONSTRUCTII,"71520000-9 - Servicii de supraveghere a lucrarilor (Rev.2)",5044,4550988,"COMUNA SIMIAN",simian,Mehedinti,110680647,30919074,"I.I. Popescu V. Florin Dorel - Diriginte de santier -","Drobeta-Turnu Severin"
101338628,DAN2272807,"2024-09-25","2024-08-13",Publicat,Furnizare,"-",214630,"Dotarea cu materiale didactice a unităților de învățământ și ȘCOALA GIMNAZIALĂ ""DIMITRIE ION GHICA"" RADOVANU în cadrul proiectului „Dotarea cu mobilier, materiale didactice și echipamente digitale a unităților de învățământ preuniversitar în cadrul UAT Radovanu” cod-F-PNRR-Dotari 2023-3420","INDUSTRIA PRELUCRATOARE","39162100-6 - Material pedagogic (Rev.2)",18194,3796845,"COMUNA RADOVANU (CONSILIUL LOCAL RADOVANU)",Radovanu,Calarasi,110669565,42179344,"S.C. Idea Papel Distribution S.R.L.",Bucuresti
101338624,DAN2272803,"2024-09-25","2024-08-13",Publicat,Furnizare,"-","181366.25","Dotarea cu mobilier a unităților de învățământ și ȘCOALA GIMNAZIALĂ ""DIMITRIE ION GHICA"" RADOVANU în cadrul proiectului „Dotarea cu mobilier, materiale didactice și echipamente digitale a unităților de învățământ preuniversitar în cadrul UAT Radovanu” cod F-PNRR-Dotari-2023-3420","INDUSTRIA PRELUCRATOARE","39160000-1 - Mobilier scolar (Rev.2)",18194,3796845,"COMUNA RADOVANU (CONSILIUL LOCAL RADOVANU)",Radovanu,Calarasi,110669544,32043930,"S.C. BLOCLIT CONSTRUCT S.R.L.",Bucuresti
101338427,DAN2272607,"2024-09-25","2024-08-28",Publicat,Servicii,"-",190000,"Servicii  topo- cadastrale necesare obtinerii Avizului de amplasament pentru obiectivul de investiție CONSTRUIREA DE INSULE ECOLOGICE DIGITALIZATE PENTRU COLECTAREA SELECTIVĂ A DEȘEURILOR ÎN MUNICIPIUL BACĂU“ PROIECT nr. C3I1B0122000001, aplicatie PNRR",CONSTRUCTII,"71351810-4 - Servicii de topografie (Rev.2)",4184,R4278337,"MUNICIPIUL BACAU",Bacau,Bacau,110668505,16561336,"S.C. GEO POINT EXPERT S.R.L. S.R.L.",Bacau
